team,Manager,Price,21_Pts,22_Pts,23_Pts,24_Pts,25_Pts,26_Pts,27_Pts,28_Pts,29_Pts,30_Pts,31_Pts,32_Pts,33_Pts,34_Pts,35_Pts,36_Pts,37_Pts,38_Pts
ARS,Arteta,1.5,9.0137,8.855733333333333,8.719966666666666,7.3248,9.315366666666666,9.729,7.521866666666667,7.454866666666667,8.409066666666666,9.1952,7.957533333333333,9.3286,9.162666666666667,9.114333333333333,8.8202,5.2022,8.327733333333333,9.602566666666666
AVL,Emery,0.8,5.646166666666667,3.5702666666666665,7.557566666666666,6.3707,8.5745,6.981733333333334,5.116466666666667,5.272666666666667,7.2270666666666665,5.103766666666667,8.514633333333334,7.402233333333333,7.345933333333333,3.8390666666666666,7.112466666666666,5.0215,6.595566666666667,4.8396333333333335
BOU,Iraola,1.1,4.0473,3.9108,9.58,7.4074,7.4178,8.048866666666667,4.9383333333333335,4.547066666666667,7.048966666666667,8.5473,5.701066666666667,6.952566666666667,5.074233333333333,6.5967666666666664,3.2252666666666667,6.712166666666667,3.8672,8.6956
BRE,Frank,0.8,7.416033333333333,6.464833333333333,4.5023333333333335,5.782,5.110266666666667,6.402433333333334,6.648533333333333,7.8343,5.3764666666666665,5.450066666666666,9.013433333333333,3.0864333333333334,7.6304,7.4424,6.3712,6.221133333333333,7.3512,5.7268
BHA,Hurzeler,1.1,6.522733333333333,4.474233333333333,6.912166666666667,8.6,8.600866666666667,7.0708,7.382066666666667,7.114866666666667,3.8173333333333335,7.1625,4.780166666666666,8.4321,4.9365,7.2068666666666665,7.9168,5.956,6.8562666666666665,4.478266666666666
CHE,Maresca,1.5,7.2514666666666665,8.875066666666667,3.7427,8.359866666666667,5.723166666666667,5.421866666666666,9.817766666666667,9.502933333333333,2.7328333333333332,7.3601,6.040666666666667,9.3776,5.9339,8.057266666666667,5.767933333333334,4.795066666666667,7.456566666666666,5.896533333333333
CRY,Glasner,0.8,6.231533333333333,4.9954,7.310766666666667,4.351933333333333,6.506466666666666,6.731866666666667,9.758,7.777833333333334,5.8692,6.5993,8.128,4.343866666666667,9.608466666666667,3.1784666666666666,11.1043,4.813533333333333,7.258533333333333,3.8266333333333336
EVE,Moyes,0.5,9.2679,5.1973666666666665,6.525366666666667,7.020566666666666,4.045433333333333,6.3760666666666665,5.3703,4.7694,6.268566666666667,3.1010666666666666,4.542766666666667,7.3352,6.1729,5.103233333333334,6.8768666666666665,6.027466666666666,7.416166666666666,4.944933333333333
FUL,Silva,1.1,4.935966666666666,6.338566666666667,5.8032,4.499366666666667,10.152333333333333,6.1038,5.5971,4.491433333333333,5.7608,2.9892333333333334,6.328566666666666,5.167833333333333,8.3056,6.6689,4.6964,6.589666666666667,4.7113,6.5174666666666665
IPS,McKenna,0.5,8.080033333333333,4.4315,2.1532333333333336,6.681166666666667,4.540133333333333,6.0704,3.9282,3.725633333333333,8.587066666666667,4.538133333333334,5.6407,3.5984,3.1614666666666666,3.5883666666666665,3.6244,7.463933333333333,4.614566666666667,6.583366666666667
LEI,van Nistelrooy,0.5,4.3446,8.2438,3.5935,3.4177666666666666,3.0076666666666667,7.7682,4.174566666666666,3.4372666666666665,6.630366666666666,2.4135,5.794266666666666,4.665866666666667,3.6374333333333335,3.9125666666666667,6.520966666666666,5.4432,6.046,4.3779
LIV,Slot,1.5,7.369066666666667,7.679433333333333,10.535233333333334,7.0599,10.174733333333334,5.2504333333333335,8.169533333333334,10.908133333333334,7.048033333333334,9.395466666666668,7.575333333333333,9.813,9.339033333333333,8.963366666666667,6.4728,5.368566666666666,7.356066666666667,9.120466666666667
MCI,Guardiola,1.5,7.1363,8.721266666666667,7.8112,3.7271,7.843466666666667,8.762833333333333,6.5915333333333335,7.207433333333333,8.640266666666667,10.291833333333333,6.7108,8.659466666666667,7.346533333333333,8.384433333333334,9.7804,9.2,8.329833333333333,7.072
MUN,Amorim,0.8,8.833433333333334,6.9281,6.413266666666667,6.6356,4.403733333333333,5.4097333333333335,8.3512,5.8674,6.832233333333333,8.488866666666667,7.613933333333334,6.309,7.8134,6.476866666666667,5.3189,7.381666666666667,6.400266666666667,8.661966666666666
NEW,Howe,1.5,8.912866666666666,7.3270333333333335,8.319033333333334,7.8046,3.8061333333333334,7.835233333333333,3.9576,6.608033333333333,7.726166666666667,7.9621,7.936366666666666,7.5324,5.456166666666666,9.3458,5.8312,6.8778,2.9427666666666665,8.111133333333333
NFO,Nuno,1.1,3.4779333333333335,8.0843,3.8529,5.731833333333333,4.3261,3.2733666666666665,3.1251333333333333,3.9520666666666666,5.959533333333333,5.638,3.8621,6.373266666666667,3.7633666666666667,6.057333333333333,4.3382,7.7239,4.8019,5.366866666666667
SOU,Juric,0.5,4.103633333333334,4.8498,5.1424666666666665,3.9997666666666665,6.458266666666667,7.045766666666666,3.0353666666666665,1.8057,5.1882,7.081966666666666,3.4892,6.513466666666667,4.866533333333333,7.531033333333333,4.1833,3.776866666666667,3.7148666666666665,2.6301
TOT,Postecoglou,1.1,3.9021,6.0395666666666665,9.3048,5.8655,7.3219,7.443966666666666,8.185033333333333,10.0755,6.7034,7.361266666666666,9.617433333333333,6.8821666666666665,11.0763,4.9581333333333335,6.265833333333333,7.4912,6.1495,8.3142
WHU,Potter,0.5,11.334366666666666,5.7268,5.6527,5.407966666666667,6.790333333333334,2.602333333333333,7.703966666666667,8.3778,4.620633333333333,5.261133333333333,9.174133333333334,3.1881666666666666,8.072533333333332,5.3964,6.6382666666666665,4.4219,10.680733333333333,5.7922666666666665
WOL,Pereira,0.5,4.19,4.3166,3.7226,8.416933333333333,2.5441666666666665,5.348733333333334,9.546833333333334,5.6744666666666665,5.4718333333333335,6.8009,4.9680333333333335,7.135833333333333,4.579733333333333,6.830466666666666,2.9766666666666666,8.656166666666667,4.267166666666666,7.898066666666667
